,,,,,,,,,,,ORDEN,SERVICIO
,,,,,,,,,,,,
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,FLETE MARITIMO CARGA SUELTA,
BANGKOK,SACO SHIPPING S.A.,GUAYAQUIL,AGENTE COLOADER,0,08/01/2026,31/01/2026,SACO SHIPPING S.A.                                                                                  ,,49-49,DOLAR,$ 38.00,
BARCELONA,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,28,EUROS,€ 45.00,
BARCELONA,CHARTER LINK LOGISTICS ECUADOR S.A.S.,GUAYAQUIL,AGENTE COLOADER,0,10/01/2026,31/01/2026,CHARTER LINK LOGISTICS ECUADOR S.A.S.                                                               ,,28,EUROS,€ 45.00,
BARCELONA,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,28-28,EUROS,€ 41.00,
BARCELONA,ECU - WORLDWIDE - (ECUADOR) S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,ECU - WORLDWIDE - (ECUADOR) S.A.                                                                    ,,26-26,EUROS,€ 45.00,
BARCELONA,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,30,EUROS,€ 45.00,
BARCELONA,SACO SHIPPING S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,SACO SHIPPING S.A.                                                                                  ,,27-27,EUROS,€ 41.00,
BASEL,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,49-49,EUROS,€ 84.00,
BELAWAN,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/12/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,60-60,DOLAR,$ 135.00,
BELAWAN,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,10/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,35-40,DOLAR,$ 0.00,
BILBAO,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,30-30,EUROS,€ 55.00,
BILBAO,ECU - WORLDWIDE - (ECUADOR) S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,ECU - WORLDWIDE - (ECUADOR) S.A.                                                                    ,,60-60,EUROS,€ 65.00,
BILBAO,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,30-30,EUROS,€ 73.00,
BILBAO,SACO SHIPPING S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,SACO SHIPPING S.A.                                                                                  ,,33-33,EUROS,€ 56.00,
BOSTON,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,31/01/2026,CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.                                                            ,,22-22,DOLAR,$ 180.00,
BOSTON,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.,GUAYAQUIL,AGENTE COLOADER,0,01/01/2026,07/01/2026,MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.                                             ,,21-21,DOLAR,$ 100.00,
