,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
ANQING,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,09/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,215.00",,"$ 1,615.00","$ 1,615.00",
ANQING,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,09/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,215.00",,"$ 1,615.00","$ 1,615.00",
ANQING,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,10/01/2026,14/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,165.00",,"$ 1,515.00","$ 1,515.00",
ANQING,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,10/01/2026,14/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,165.00",,"$ 1,515.00","$ 1,515.00",
ARICA,Hapag Lloyd,GUAYAQUIL,DIRECTA,14,01/01/2026,14/01/2026,                                                                                                    ,W251200425382,12-12,DOLAR,"$ 1,252.00",,"$ 1,247.00","$ 1,247.00",
ARICA,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,15,01/01/2026,31/03/2026,                                                                                                    ,GYE00058,15-18,DOLAR,$ 850.00,,"$ 1,250.00","$ 1,250.00",
ASUNCIÓN,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,01/01/2026,31/01/2026,                                                                                                    ,GYE00058,47-54,DOLAR,"$ 5,781.00",,"$ 3,547.00","$ 3,547.00",
AUCKLAND (NZ),OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,15,01/01/2026,14/01/2026,                                                                                                    ,GYE00176,58-62,DOLAR,"$ 4,700.00",,"$ 5,700.00","$ 5,700.00",
BALBOA,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,DIRECTA,10,01/01/2026,31/03/2026,                                                                                                    ,00074058,3-4,DOLAR,,,,,$ 290.00
BALBOA,COSCO SHIPPING LINES CO. LTD.,GUAYAQUIL,DIRECTA,16,01/01/2026,31/01/2026,                                                                                                    ,00074058,3-4,DOLAR,$ 395.00,,$ 530.00,$ 530.00,
